"Primary Type","yearmo","count","year","month"
"MOTOR VEHICLE THEFT",Dec 2011,1503,2011,"Dec"
"NARCOTICS",Dec 2011,2915,2011,"Dec"
"ROBBERY",Dec 2011,1227,2011,"Dec"
"ASSAULT",Jan 2012,1294,2012,"Jan"
"BURGLARY",Jan 2012,1757,2012,"Jan"
"CRIMINAL TRESPASS",Jan 2012,662,2012,"Jan"
"MOTOR VEHICLE THEFT",Jan 2012,1439,2012,"Jan"
"NARCOTICS",Jan 2012,3268,2012,"Jan"
"ROBBERY",Jan 2012,1011,2012,"Jan"
"ASSAULT",Feb 2012,1323,2012,"Feb"
"BURGLARY",Feb 2012,1396,2012,"Feb"
"CRIMINAL TRESPASS",Feb 2012,698,2012,"Feb"
"MOTOR VEHICLE THEFT",Feb 2012,1150,2012,"Feb"
"NARCOTICS",Feb 2012,3579,2012,"Feb"
"ROBBERY",Feb 2012,695,2012,"Feb"
"ASSAULT",Mar 2012,1856,2012,"Mar"
"BURGLARY",Mar 2012,1638,2012,"Mar"
"CRIMINAL TRESPASS",Mar 2012,686,2012,"Mar"
"MOTOR VEHICLE THEFT",Mar 2012,1353,2012,"Mar"
"NARCOTICS",Mar 2012,3541,2012,"Mar"
"ROBBERY",Mar 2012,845,2012,"Mar"
"ASSAULT",Apr 2012,1626,2012,"Apr"
"BURGLARY",Apr 2012,1646,2012,"Apr"
"CRIMINAL TRESPASS",Apr 2012,677,2012,"Apr"
"MOTOR VEHICLE THEFT",Apr 2012,1334,2012,"Apr"
"NARCOTICS",Apr 2012,3025,2012,"Apr"
"ROBBERY",Apr 2012,975,2012,"Apr"
"ASSAULT",May 2012,1927,2012,"May"
"BURGLARY",May 2012,1924,2012,"May"
"CRIMINAL TRESPASS",May 2012,706,2012,"May"
"MOTOR VEHICLE THEFT",May 2012,1465,2012,"May"
"NARCOTICS",May 2012,3066,2012,"May"
"ROBBERY",May 2012,1267,2012,"May"
"ASSAULT",Jun 2012,1896,2012,"Jun"
"BURGLARY",Jun 2012,2063,2012,"Jun"
"CRIMINAL TRESPASS",Jun 2012,658,2012,"Jun"
"MOTOR VEHICLE THEFT",Jun 2012,1467,2012,"Jun"
"NARCOTICS",Jun 2012,3059,2012,"Jun"
"ROBBERY",Jun 2012,1282,2012,"Jun"
"ASSAULT",Jul 2012,1929,2012,"Jul"
"BURGLARY",Jul 2012,2276,2012,"Jul"
"CRIMINAL TRESPASS",Jul 2012,772,2012,"Jul"
"MOTOR VEHICLE THEFT",Jul 2012,1422,2012,"Jul"
"NARCOTICS",Jul 2012,3222,2012,"Jul"
"ROBBERY",Jul 2012,1332,2012,"Jul"
"ASSAULT",Aug 2012,1889,2012,"Aug"
"BURGLARY",Aug 2012,2219,2012,"Aug"
"CRIMINAL TRESPASS",Aug 2012,770,2012,"Aug"
"MOTOR VEHICLE THEFT",Aug 2012,1346,2012,"Aug"
"NARCOTICS",Aug 2012,2660,2012,"Aug"
"ROBBERY",Aug 2012,1272,2012,"Aug"
"ASSAULT",Sep 2012,1634,2012,"Sep"
"BURGLARY",Sep 2012,1991,2012,"Sep"
"CRIMINAL TRESPASS",Sep 2012,703,2012,"Sep"
"MOTOR VEHICLE THEFT",Sep 2012,1305,2012,"Sep"
"NARCOTICS",Sep 2012,2611,2012,"Sep"
"ROBBERY",Sep 2012,1168,2012,"Sep"
"ASSAULT",Oct 2012,1728,2012,"Oct"
"BURGLARY",Oct 2012,2128,2012,"Oct"
"CRIMINAL TRESPASS",Oct 2012,700,2012,"Oct"
"MOTOR VEHICLE THEFT",Oct 2012,1376,2012,"Oct"
"NARCOTICS",Oct 2012,2562,2012,"Oct"
"ROBBERY",Oct 2012,1232,2012,"Oct"
"ASSAULT",Nov 2012,1404,2012,"Nov"
"BURGLARY",Nov 2012,1992,2012,"Nov"
"CRIMINAL TRESPASS",Nov 2012,599,2012,"Nov"
"MOTOR VEHICLE THEFT",Nov 2012,1414,2012,"Nov"
"NARCOTICS",Nov 2012,2442,2012,"Nov"
"ROBBERY",Nov 2012,1211,2012,"Nov"
"ASSAULT",Dec 2012,1388,2012,"Dec"
"BURGLARY",Dec 2012,1807,2012,"Dec"
"CRIMINAL TRESPASS",Dec 2012,584,2012,"Dec"
"MOTOR VEHICLE THEFT",Dec 2012,1412,2012,"Dec"
"NARCOTICS",Dec 2012,2435,2012,"Dec"
"ROBBERY",Dec 2012,1193,2012,"Dec"
"ASSAULT",Jan 2013,1395,2013,"Jan"
"BURGLARY",Jan 2013,1584,2013,"Jan"
"CRIMINAL TRESPASS",Jan 2013,740,2013,"Jan"
"MOTOR VEHICLE THEFT",Jan 2013,1469,2013,"Jan"
"NARCOTICS",Jan 2013,2935,2013,"Jan"
"ROBBERY",Jan 2013,1094,2013,"Jan"
"ASSAULT",Feb 2013,1181,2013,"Feb"
"BURGLARY",Feb 2013,1171,2013,"Feb"
"CRIMINAL TRESPASS",Feb 2013,656,2013,"Feb"
"MOTOR VEHICLE THEFT",Feb 2013,1247,2013,"Feb"
"NARCOTICS",Feb 2013,2831,2013,"Feb"
"ROBBERY",Feb 2013,731,2013,"Feb"
"ASSAULT",Mar 2013,1415,2013,"Mar"
"BURGLARY",Mar 2013,1247,2013,"Mar"
"CRIMINAL TRESPASS",Mar 2013,699,2013,"Mar"
"MOTOR VEHICLE THEFT",Mar 2013,1087,2013,"Mar"
"NARCOTICS",Mar 2013,3296,2013,"Mar"
"ROBBERY",Mar 2013,772,2013,"Mar"
"ASSAULT",Apr 2013,1611,2013,"Apr"
"BURGLARY",Apr 2013,1366,2013,"Apr"
"CRIMINAL TRESPASS",Apr 2013,713,2013,"Apr"
"MOTOR VEHICLE THEFT",Apr 2013,926,2013,"Apr"
"NARCOTICS",Apr 2013,2971,2013,"Apr"
"ROBBERY",Apr 2013,849,2013,"Apr"
"ASSAULT",May 2013,1843,2013,"May"
"BURGLARY",May 2013,1560,2013,"May"
"CRIMINAL TRESPASS",May 2013,729,2013,"May"
"MOTOR VEHICLE THEFT",May 2013,960,2013,"May"
"NARCOTICS",May 2013,3076,2013,"May"
"ROBBERY",May 2013,976,2013,"May"
"ASSAULT",Jun 2013,1758,2013,"Jun"
"BURGLARY",Jun 2013,1475,2013,"Jun"
"CRIMINAL TRESPASS",Jun 2013,683,2013,"Jun"
"MOTOR VEHICLE THEFT",Jun 2013,1037,2013,"Jun"
"NARCOTICS",Jun 2013,2671,2013,"Jun"
"ROBBERY",Jun 2013,990,2013,"Jun"
"ASSAULT",Jul 2013,1633,2013,"Jul"
"BURGLARY",Jul 2013,1564,2013,"Jul"
"CRIMINAL TRESPASS",Jul 2013,680,2013,"Jul"
"MOTOR VEHICLE THEFT",Jul 2013,1034,2013,"Jul"
"NARCOTICS",Jul 2013,2973,2013,"Jul"
"ROBBERY",Jul 2013,1224,2013,"Jul"
"ASSAULT",Aug 2013,1608,2013,"Aug"
"BURGLARY",Aug 2013,1766,2013,"Aug"
"CRIMINAL TRESPASS",Aug 2013,778,2013,"Aug"
"MOTOR VEHICLE THEFT",Aug 2013,1028,2013,"Aug"
"NARCOTICS",Aug 2013,3018,2013,"Aug"
"ROBBERY",Aug 2013,1110,2013,"Aug"
"ASSAULT",Sep 2013,1609,2013,"Sep"
"BURGLARY",Sep 2013,1633,2013,"Sep"
"CRIMINAL TRESPASS",Sep 2013,633,2013,"Sep"
"MOTOR VEHICLE THEFT",Sep 2013,951,2013,"Sep"
"NARCOTICS",Sep 2013,2643,2013,"Sep"
"ROBBERY",Sep 2013,1077,2013,"Sep"
"ASSAULT",Oct 2013,1509,2013,"Oct"
"BURGLARY",Oct 2013,1597,2013,"Oct"
"CRIMINAL TRESPASS",Oct 2013,680,2013,"Oct"
"MOTOR VEHICLE THEFT",Oct 2013,919,2013,"Oct"
"NARCOTICS",Oct 2013,2720,2013,"Oct"
"ROBBERY",Oct 2013,991,2013,"Oct"
"ASSAULT",Nov 2013,1247,2013,"Nov"
"BURGLARY",Nov 2013,1467,2013,"Nov"
"CRIMINAL TRESPASS",Nov 2013,611,2013,"Nov"
"MOTOR VEHICLE THEFT",Nov 2013,886,2013,"Nov"
"NARCOTICS",Nov 2013,2729,2013,"Nov"
"ROBBERY",Nov 2013,919,2013,"Nov"
"ASSAULT",Dec 2013,1116,2013,"Dec"
"BURGLARY",Dec 2013,1395,2013,"Dec"
"CRIMINAL TRESPASS",Dec 2013,528,2013,"Dec"
"MOTOR VEHICLE THEFT",Dec 2013,988,2013,"Dec"
"NARCOTICS",Dec 2013,2221,2013,"Dec"
"ROBBERY",Dec 2013,1053,2013,"Dec"
"ASSAULT",Jan 2014,1036,2014,"Jan"
"BURGLARY",Jan 2014,1134,2014,"Jan"
"CRIMINAL TRESPASS",Jan 2014,575,2014,"Jan"
"MOTOR VEHICLE THEFT",Jan 2014,805,2014,"Jan"
"NARCOTICS",Jan 2014,2222,2014,"Jan"
"ROBBERY",Jan 2014,797,2014,"Jan"
"ASSAULT",Feb 2014,1022,2014,"Feb"
"BURGLARY",Feb 2014,889,2014,"Feb"
"CRIMINAL TRESPASS",Feb 2014,536,2014,"Feb"
"MOTOR VEHICLE THEFT",Feb 2014,680,2014,"Feb"
"NARCOTICS",Feb 2014,2353,2014,"Feb"
"ROBBERY",Feb 2014,555,2014,"Feb"
"ASSAULT",Mar 2014,1386,2014,"Mar"
"BURGLARY",Mar 2014,1050,2014,"Mar"
"CRIMINAL TRESPASS",Mar 2014,702,2014,"Mar"
"MOTOR VEHICLE THEFT",Mar 2014,907,2014,"Mar"
"NARCOTICS",Mar 2014,2633,2014,"Mar"
"ROBBERY",Mar 2014,621,2014,"Mar"
"ASSAULT",Apr 2014,1393,2014,"Apr"
"BURGLARY",Apr 2014,1095,2014,"Apr"
"CRIMINAL TRESPASS",Apr 2014,638,2014,"Apr"
"MOTOR VEHICLE THEFT",Apr 2014,695,2014,"Apr"
"NARCOTICS",Apr 2014,2604,2014,"Apr"
"ROBBERY",Apr 2014,718,2014,"Apr"
"ASSAULT",May 2014,1642,2014,"May"
"BURGLARY",May 2014,1188,2014,"May"
"CRIMINAL TRESPASS",May 2014,646,2014,"May"
"MOTOR VEHICLE THEFT",May 2014,717,2014,"May"
"NARCOTICS",May 2014,2606,2014,"May"
"ROBBERY",May 2014,821,2014,"May"
"ASSAULT",Jun 2014,1644,2014,"Jun"
"BURGLARY",Jun 2014,1215,2014,"Jun"
"CRIMINAL TRESPASS",Jun 2014,676,2014,"Jun"
"MOTOR VEHICLE THEFT",Jun 2014,896,2014,"Jun"
"NARCOTICS",Jun 2014,2422,2014,"Jun"
"ROBBERY",Jun 2014,842,2014,"Jun"
"ASSAULT",Jul 2014,1605,2014,"Jul"
"BURGLARY",Jul 2014,1362,2014,"Jul"
"CRIMINAL TRESPASS",Jul 2014,704,2014,"Jul"
"MOTOR VEHICLE THEFT",Jul 2014,908,2014,"Jul"
"NARCOTICS",Jul 2014,2713,2014,"Jul"
"ROBBERY",Jul 2014,907,2014,"Jul"
"ASSAULT",Aug 2014,1584,2014,"Aug"
"BURGLARY",Aug 2014,1354,2014,"Aug"
"CRIMINAL TRESPASS",Aug 2014,672,2014,"Aug"
"MOTOR VEHICLE THEFT",Aug 2014,852,2014,"Aug"
"NARCOTICS",Aug 2014,2551,2014,"Aug"
"ROBBERY",Aug 2014,867,2014,"Aug"
"ASSAULT",Sep 2014,1543,2014,"Sep"
"BURGLARY",Sep 2014,1280,2014,"Sep"
"CRIMINAL TRESPASS",Sep 2014,597,2014,"Sep"
"MOTOR VEHICLE THEFT",Sep 2014,849,2014,"Sep"
"NARCOTICS",Sep 2014,2243,2014,"Sep"
"ROBBERY",Sep 2014,856,2014,"Sep"
"ASSAULT",Oct 2014,1475,2014,"Oct"
"BURGLARY",Oct 2014,1328,2014,"Oct"
"CRIMINAL TRESPASS",Oct 2014,674,2014,"Oct"
"MOTOR VEHICLE THEFT",Oct 2014,903,2014,"Oct"
"NARCOTICS",Oct 2014,2170,2014,"Oct"
"ROBBERY",Oct 2014,938,2014,"Oct"
"ASSAULT",Nov 2014,1130,2014,"Nov"
"BURGLARY",Nov 2014,1103,2014,"Nov"
"CRIMINAL TRESPASS",Nov 2014,552,2014,"Nov"
"MOTOR VEHICLE THEFT",Nov 2014,835,2014,"Nov"
"NARCOTICS",Nov 2014,1935,2014,"Nov"
"ROBBERY",Nov 2014,783,2014,"Nov"
"ASSAULT",Dec 2014,1209,2014,"Dec"
"BURGLARY",Dec 2014,1314,2014,"Dec"
"CRIMINAL TRESPASS",Dec 2014,523,2014,"Dec"
"MOTOR VEHICLE THEFT",Dec 2014,748,2014,"Dec"
"NARCOTICS",Dec 2014,1659,2014,"Dec"
"ROBBERY",Dec 2014,943,2014,"Dec"
"ASSAULT",Jan 2015,1205,2015,"Jan"
"BURGLARY",Jan 2015,1047,2015,"Jan"
"CRIMINAL TRESPASS",Jan 2015,572,2015,"Jan"
"MOTOR VEHICLE THEFT",Jan 2015,820,2015,"Jan"
"NARCOTICS",Jan 2015,2311,2015,"Jan"
"ROBBERY",Jan 2015,777,2015,"Jan"
"ASSAULT",Feb 2015,1066,2015,"Feb"
"BURGLARY",Feb 2015,644,2015,"Feb"
"CRIMINAL TRESPASS",Feb 2015,438,2015,"Feb"
"MOTOR VEHICLE THEFT",Feb 2015,619,2015,"Feb"
"NARCOTICS",Feb 2015,1956,2015,"Feb"
"ROBBERY",Feb 2015,450,2015,"Feb"
"ASSAULT",Mar 2015,1418,2015,"Mar"
"BURGLARY",Mar 2015,833,2015,"Mar"
"CRIMINAL TRESPASS",Mar 2015,581,2015,"Mar"
"MOTOR VEHICLE THEFT",Mar 2015,778,2015,"Mar"
"NARCOTICS",Mar 2015,2429,2015,"Mar"
"ROBBERY",Mar 2015,601,2015,"Mar"
"ASSAULT",Apr 2015,1391,2015,"Apr"
"BURGLARY",Apr 2015,916,2015,"Apr"
"CRIMINAL TRESPASS",Apr 2015,574,2015,"Apr"
"MOTOR VEHICLE THEFT",Apr 2015,722,2015,"Apr"
"NARCOTICS",Apr 2015,2064,2015,"Apr"
"ROBBERY",Apr 2015,673,2015,"Apr"
"ASSAULT",May 2015,1661,2015,"May"
"BURGLARY",May 2015,1063,2015,"May"
"CRIMINAL TRESPASS",May 2015,558,2015,"May"
"MOTOR VEHICLE THEFT",May 2015,847,2015,"May"
"NARCOTICS",May 2015,1950,2015,"May"
"ROBBERY",May 2015,725,2015,"May"
"ASSAULT",Jun 2015,1587,2015,"Jun"
"BURGLARY",Jun 2015,1129,2015,"Jun"
"CRIMINAL TRESPASS",Jun 2015,607,2015,"Jun"
"MOTOR VEHICLE THEFT",Jun 2015,906,2015,"Jun"
"NARCOTICS",Jun 2015,1802,2015,"Jun"
"ROBBERY",Jun 2015,768,2015,"Jun"
"ASSAULT",Jul 2015,1593,2015,"Jul"
"BURGLARY",Jul 2015,1156,2015,"Jul"
"CRIMINAL TRESPASS",Jul 2015,540,2015,"Jul"
"MOTOR VEHICLE THEFT",Jul 2015,892,2015,"Jul"
"NARCOTICS",Jul 2015,1830,2015,"Jul"
"ROBBERY",Jul 2015,916,2015,"Jul"
"ASSAULT",Aug 2015,1591,2015,"Aug"
"BURGLARY",Aug 2015,1250,2015,"Aug"
"CRIMINAL TRESPASS",Aug 2015,577,2015,"Aug"
"MOTOR VEHICLE THEFT",Aug 2015,966,2015,"Aug"
"NARCOTICS",Aug 2015,1971,2015,"Aug"
"ROBBERY",Aug 2015,930,2015,"Aug"
"ASSAULT",Sep 2015,1527,2015,"Sep"
"BURGLARY",Sep 2015,1181,2015,"Sep"
"CRIMINAL TRESPASS",Sep 2015,485,2015,"Sep"
"MOTOR VEHICLE THEFT",Sep 2015,865,2015,"Sep"
"NARCOTICS",Sep 2015,1888,2015,"Sep"
"ROBBERY",Sep 2015,929,2015,"Sep"
"ASSAULT",Oct 2015,1423,2015,"Oct"
"BURGLARY",Oct 2015,1296,2015,"Oct"
"CRIMINAL TRESPASS",Oct 2015,524,2015,"Oct"
"MOTOR VEHICLE THEFT",Oct 2015,841,2015,"Oct"
"NARCOTICS",Oct 2015,1911,2015,"Oct"
"ROBBERY",Oct 2015,955,2015,"Oct"
"ASSAULT",Nov 2015,1250,2015,"Nov"
"BURGLARY",Nov 2015,1215,2015,"Nov"
"CRIMINAL TRESPASS",Nov 2015,488,2015,"Nov"
"MOTOR VEHICLE THEFT",Nov 2015,863,2015,"Nov"
"NARCOTICS",Nov 2015,1601,2015,"Nov"
"ROBBERY",Nov 2015,819,2015,"Nov"
"ASSAULT",Dec 2015,1233,2015,"Dec"
"BURGLARY",Dec 2015,1355,2015,"Dec"
"CRIMINAL TRESPASS",Dec 2015,439,2015,"Dec"
"MOTOR VEHICLE THEFT",Dec 2015,912,2015,"Dec"
"NARCOTICS",Dec 2015,1126,2015,"Dec"
"ROBBERY",Dec 2015,1026,2015,"Dec"
"ASSAULT",Jan 2016,1193,2016,"Jan"
"BURGLARY",Jan 2016,1136,2016,"Jan"
"CRIMINAL TRESPASS",Jan 2016,456,2016,"Jan"
"MOTOR VEHICLE THEFT",Jan 2016,959,2016,"Jan"
"NARCOTICS",Jan 2016,861,2016,"Jan"
"ROBBERY",Jan 2016,1019,2016,"Jan"
"ASSAULT",Feb 2016,1165,2016,"Feb"
"BURGLARY",Feb 2016,781,2016,"Feb"
"CRIMINAL TRESPASS",Feb 2016,429,2016,"Feb"
"MOTOR VEHICLE THEFT",Feb 2016,801,2016,"Feb"
"NARCOTICS",Feb 2016,1040,2016,"Feb"
"ROBBERY",Feb 2016,674,2016,"Feb"
"ASSAULT",Mar 2016,1455,2016,"Mar"
"BURGLARY",Mar 2016,898,2016,"Mar"
"CRIMINAL TRESPASS",Mar 2016,481,2016,"Mar"
"MOTOR VEHICLE THEFT",Mar 2016,720,2016,"Mar"
"NARCOTICS",Mar 2016,1175,2016,"Mar"
"ROBBERY",Mar 2016,679,2016,"Mar"
"ASSAULT",Apr 2016,1368,2016,"Apr"
"BURGLARY",Apr 2016,860,2016,"Apr"
"CRIMINAL TRESPASS",Apr 2016,487,2016,"Apr"
"MOTOR VEHICLE THEFT",Apr 2016,702,2016,"Apr"
"NARCOTICS",Apr 2016,1198,2016,"Apr"
"ROBBERY",Apr 2016,720,2016,"Apr"
"ASSAULT",May 2016,1767,2016,"May"
"BURGLARY",May 2016,1086,2016,"May"
"CRIMINAL TRESPASS",May 2016,580,2016,"May"
"MOTOR VEHICLE THEFT",May 2016,800,2016,"May"
"NARCOTICS",May 2016,1171,2016,"May"
"ROBBERY",May 2016,955,2016,"May"
"ASSAULT",Jun 2016,1793,2016,"Jun"
"BURGLARY",Jun 2016,1053,2016,"Jun"
"CRIMINAL TRESPASS",Jun 2016,583,2016,"Jun"
"MOTOR VEHICLE THEFT",Jun 2016,906,2016,"Jun"
"NARCOTICS",Jun 2016,1073,2016,"Jun"
"ROBBERY",Jun 2016,897,2016,"Jun"
"ASSAULT",Jul 2016,1675,2016,"Jul"
"BURGLARY",Jul 2016,1309,2016,"Jul"
"CRIMINAL TRESPASS",Jul 2016,560,2016,"Jul"
"MOTOR VEHICLE THEFT",Jul 2016,1006,2016,"Jul"
"NARCOTICS",Jul 2016,1022,2016,"Jul"
"ROBBERY",Jul 2016,1100,2016,"Jul"
"ASSAULT",Aug 2016,1726,2016,"Aug"
"BURGLARY",Aug 2016,1317,2016,"Aug"
"CRIMINAL TRESPASS",Aug 2016,573,2016,"Aug"
"MOTOR VEHICLE THEFT",Aug 2016,997,2016,"Aug"
"NARCOTICS",Aug 2016,681,2016,"Aug"
"ROBBERY",Aug 2016,1222,2016,"Aug"
"ASSAULT",Sep 2016,1665,2016,"Sep"
"BURGLARY",Sep 2016,1330,2016,"Sep"
"CRIMINAL TRESPASS",Sep 2016,568,2016,"Sep"
"MOTOR VEHICLE THEFT",Sep 2016,968,2016,"Sep"
"NARCOTICS",Sep 2016,694,2016,"Sep"
"ROBBERY",Sep 2016,1013,2016,"Sep"
"ASSAULT",Oct 2016,1638,2016,"Oct"
"BURGLARY",Oct 2016,1277,2016,"Oct"
"CRIMINAL TRESPASS",Oct 2016,545,2016,"Oct"
"MOTOR VEHICLE THEFT",Oct 2016,981,2016,"Oct"
"NARCOTICS",Oct 2016,625,2016,"Oct"
"ROBBERY",Oct 2016,1125,2016,"Oct"
"ASSAULT",Nov 2016,1394,2016,"Nov"
"BURGLARY",Nov 2016,1325,2016,"Nov"
"CRIMINAL TRESPASS",Nov 2016,481,2016,"Nov"
"MOTOR VEHICLE THEFT",Nov 2016,975,2016,"Nov"
"NARCOTICS",Nov 2016,578,2016,"Nov"
"ROBBERY",Nov 2016,1132,2016,"Nov"
"ASSAULT",Dec 2016,1236,2016,"Dec"
"BURGLARY",Dec 2016,1247,2016,"Dec"
"CRIMINAL TRESPASS",Dec 2016,461,2016,"Dec"
"MOTOR VEHICLE THEFT",Dec 2016,1087,2016,"Dec"
"NARCOTICS",Dec 2016,544,2016,"Dec"
"ROBBERY",Dec 2016,1070,2016,"Dec"
